타임스탬프,What genre of music do you most likely to listen to?(Select 3 ),What kind of fashion style do you like the most? / 가장 좋아하는 패션 스타일은 무엇입니까? (Select 3 / 3가지 선택),What kind of art performances do you like the most? / 가장 좋아하는 공연은 무엇입니까?,What kind of art exhibitions do you like the most? / 가장 좋아하는 전시회는 무엇입니까?
2019. 11. 7 오후 9:38:52,"Pop (팝), Dance (댄스), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩)",Dance (댄스),"Art Design (디자인), Architecture (건축)"
2019. 11. 7 오후 9:39:10,"Pop (팝), Idol (아이돌), Ballad (발라드)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Athleisure (애스레저룩)",Music Performances (음악),Architecture (건축)
2019. 11. 7 오후 9:41:16,"Pop (팝), Ballad (발라드), Instrumental, orchestral, ","Casual (캐주얼룩), Chic (시크룩), Preppy (프레피룩)",Musicals (뮤지컬),"Paintings (회화), Sculptures (조각), Photography (사진), Art Design (디자인), Crafting (공예), Architecture (건축)"
2019. 11. 7 오후 9:46:00,"Idol (아이돌), Ballad (발라드), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Street (스트릿룩), Chic (시크룩)",Music Performances (음악),Art Design (디자인)
2019. 11. 7 오후 9:48:09,"Pop (팝), Dance (댄스), Kpop ","Casual (캐주얼룩), Street (스트릿룩), Grunge (그런지룩)",Music Performances (음악),Art Design (디자인)
2019. 11. 7 오후 9:49:56,"Pop (팝), Ballad (발라드), R&B / Soul (R&B/소울)","Casual (캐주얼룩), Street (스트릿룩), Vintage (빈티지룩)",Dance (댄스),Architecture (건축)
2019. 11. 7 오후 10:09:42,"Idol (아이돌), Ballad (발라드), Dance (댄스)","Casual (캐주얼룩), Chic (시크룩), Bohemian (보헤미안룩)",Dance (댄스),Photography (사진)
2019. 11. 7 오후 10:12:38,"Pop (팝), Indie (인디), TWICE","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Street (스트릿룩)",Music Performances (음악),"Paintings (회화), Sculptures (조각), Photography (사진), Art Design (디자인), Crafting (공예), Architecture (건축)"
2019. 11. 7 오후 10:28:58,"Pop (팝), R&B / Soul (R&B/소울), Rock / Metal (락/메탈)","Casual (캐주얼룩), Street (스트릿룩), Chic (시크룩)",Music Performances (음악),"Paintings (회화), Art Design (디자인)"
2019. 11. 7 오후 10:29:13,"Pop (팝), Idol (아이돌), Dance (댄스)","Casual (캐주얼룩), Workwear (워크웨어륵) (constructed of sturdy fabrics like denim and corduroy, and it has an oversized fit to allow for movement), Dandy (댄디룩)",Dance (댄스),Paintings (회화)
